date	total	pnevmo	corona	hard	middle	O2	IVL	plus	minus	
200413	19		19							
200415	143		143							
200416	160		160							
200417	163		163							
200418	194			15	175	66				
200419	204			35	165	106				
200420	213		213	27	181	79				
200421	216		56	36	189	92				
200422	215		41	45	164				29	
200423	237		58	38	188					
200424	248		112	37	183					
200425	236			44	159	77			33	
200426	245			39	175	74	3		3	
200427	247	209	110	44	186					
200428	245	206	95	56	175					
200429	241	201	91	46	182	97				
200430	239	199	87	60	165	102				
200501	234			48	175	102			30	
200502	238			52	176	94	4		4	
200503	248			66	172	116			16	
200504	243			69	163	85			15	
200505	240			79	145	87				
200506	255	226	92	91	137	130				
200507	255	212	82	112	134	121				
200508	251	228	83	111	129	132				
200509	253			78	168	98				
200510	266			81	178	104	5			
200511	271			75	193	100	5		12	
200512	279	258	81	115	159	145			7	
200513	287	262	82	128	154	136			22	
200514	296	278	78	125	170	140			25	
200515	310	289	80	126	180	155			19	
200516	319			138	175				28	
200517	327			149	176	146			11	
200518	342	299	97	145	192	166			10	
200519	365	337	97	149	212	175			18	
200520	362	337	99	154	205	166				
200521	373	345	100	157	209	153			17	
200522	407	378	112	171	229	174			19	
200523	415			151	255				28	
200524	437			157	268	186			14	
200525	449	415	137	161	282	191			4	
200526	449	413	196	167	271	197				
200527	437	407	188	164	260	176				
200528	454	422	189	159	284	195				
200529	461	424	195	161	289	202				
200530	470			146	315	203				
200530	470			146	315	203				
200531	478			165	307	188		23	9	
200601	502	457	224	160	331	191	12			
200602	527	492	221	160	364	179	10			
200603	526	489	217	159	364	226	11			
200604	527	493	233	148	375	229	10			
200605	551	519	245	156	390	222	10			
200606	554			161	385	253		61	58	
200607	564			152	407	239	10	26	16	
200608	578	550	241	148	422	241	9		8	
200609	594	542	266	161	425	261	10	56	40	
200610	584	561	240	144	437	233	11		54	
200611	600	580	233	162	428	249	11	52	36	
200612	581			143	432	226	12	61	80	
200613	593			137	449	208	14	34	22	
200614	612			156	447	235	12	49	30	
200615	647	610	317	152	483	244	12	42	7	
